CANONICAL_SMILES,INCHIKEY,pChEMBL mean,pChEMBL std,Molecule Name,Compound Key,appears_in_N_ChEMBL_assays
COc1c2occc2cc2ccc(=O)oc12,QXKHYNVANLEOEG-UHFFFAOYSA-N,5.028571428571429,0.1603567451474544,METHOXSALEN,SID17389831,7
CC(C)(C(=O)c1cccnc1)c1cccnc1,FJLBFSROUSIWMA-UHFFFAOYSA-N,5.735714285714286,0.2851816463739759,METYRAPONE,23,7
NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,SGDBTWWWUNNDEQ-UHFFFAOYSA-N,5.257142857142857,0.24397501823713327,SARCOLYSIN,SID26747576,7
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,RTIXKCRFFJGDFG-UHFFFAOYSA-N,5.414285714285714,0.21930626551751345,CHRYSIN,SID26753723,7
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,VGEREEWJJVICBM-UHFFFAOYSA-N,5.142857142857143,0.3909694909544005,PHLORETIN,SID11111666,7
FC(F)(F)c1ccc(N(c2cccnc2)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)cc1,XCJMUIWIEQFAQX-UHFFFAOYSA-N,5.07,0.2121320343559638,,6,7
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,DANYIYRPLHHOCZ-UHFFFAOYSA-N,5.428571428571429,0.22886885410853156,ACACETIN,SID26749133,7
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,REFJWTPEDVJJIY-UHFFFAOYSA-N,5.082857142857143,0.30668736990157064,QUERCETIN,Quercetin,7
CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,APIXJSLKIYYUKG-UHFFFAOYSA-N,5.085714285714286,0.2968084198523319,ISOBUTYLMETHYLXANTHINE,SID11111325,7
O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,DXDRHHKMWQZJHT-UHFFFAOYSA-N,5.328571428571428,0.22886885410853175,ISOLIQUIRITIGENIN,SID26752559,7
CNCCCC1c2ccccc2C=Cc2ccccc21,BWPIARFWQZKAIA-UHFFFAOYSA-N,5.15,0.273861278752583,PROTRIPTYLINE,SID11111679,6
CO[C@H]1COC(=O)C/C=C\[C@@H](C)COC(=O)C(CCSC)NC(=O)C/C=C\[C@@H]1C,RFULMJQZKAYMPR-RTLRQCMZSA-N,5.3500000000000005,0.05477225575051703,,SID26750746,6
S=C(S)O[C@@H]1C[C@@H]2C[C@H]1[C@@H]1CCC[C@H]21,PWLXJBSAUKKGCM-LOLPMWEVSA-N,5.15,0.27386127875258304,,SID11112086,6
CON(C)C(=O)c1nnc2c3ccccc3n(S(=O)(=O)c3ccc(C)cc3)c2n1,VEBJZSSPNWRZDG-UHFFFAOYSA-N,5.45,0.054772255750516356,,SID26751119,6
C[C@@H]([C@H](O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,UYNVMODNBIQBMV-KKSFZXQISA-N,5.1000000000000005,0.23664319132398448,"(R,S)-IFENPRODIL",SID11113557,6
Oc1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@]4(O)[C@H](C2)N(CC2CC2)CC[C@@]314,WIYUZYBFCWCCQJ-JTMVAAEOSA-N,6.3,1.862256695517565,,SID11113673,6
